text,age,label,assessment,Война и мир,Игра в войну ,Реальность виртуального ,Антимилитаризм,Свой-чужой ,Патриотизм ,Положительная оценка СССР,Отрицательная оценка СССР,Критика 90-ых годов / Все о 90-ых,Клюква,Политическая ирония,Образ будущего ,Повесточка,Запрос на социальную справедливость и равенство,Запрос на объективность ,Запрос на альтернативность ,Запрос на субъектность ,Негативный национализм,Позитивный национализм ,Поддержка СВО,Критика СВО,СВО и ее последствия,Актуальные проблемы ,Критика власти/режима,Поддержка власти/режима,Принадлежность к идеологии: левый,Принадлежность к идеологии: правый,Принадлежность к идеологии: либерал/центрист,Ценности: гуманизм/антигуманизм,Мобилизационный и/или мотивационный потенциал ,Международная и/или мировая политика,Оппозиция,Личности и\или политики,Образ народа,Иное
"Одна из тех не многих игр, по прохождению которой я прочитала титры, чтобы узнать имена всех причастных к созданию этого маленького шедевра. Ребята, это даже не игра, это пронзительное художественое высказывание. Вот что нужно показывать детям, которые сейчас играют в войну. История о том, что в войнах не бывает победителей, есть только люди по ту и по другую сторону баррикад, которые теряют свои дома, своих близких. Несчастные, потерянные души, которые все еще понимают, где добро, а где зло, но не всегда могут найти в себе силы, чтобы выбрать правильную сторону. И даже не смотря на то, что история девочки Аси грустная, ее финал оставляет светлое послевкусие. Девочка Ася на родной земле, в окружении чужих, но уже ставших близкими, и все эти люди, глядя на руины, воронки от взрывов и свежие могилы, думают, как пахать поле и жить дальше. Визуальный стиль игры просто изумительный! Она такая же выразительная, как GRIS, но при этом значительно сильнее цепляет эмоционально. Каждую локацию можно разбирать на красивые обойные скриншоты. Саунтрек - великолепный! Колыбельная мамы на стихи Цветаевой засела в моем сердечке очень на долго. Мне очень приятно от того, что в России начали делать такие игры, которые не стыдно показать консервативным родственникам с крепким, уверенным заявлением, что это ИСКУССТВО. От всего сердца выражаю благодарность создателям! Спасибо вам, дорогие, за такую замечательную историю!",23-30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,6,Не имеется,Положительный
"Узнал , про эту игру из ленты новостей. Я как человек следящий за отечественными продуктами не мог пройти мимо увиденного. Меня сильно зацепила крутая озвучка из трейлера и приятная рисовка. После чего я решил найти игру в стиме и вот тут то я ахренел , разрабы скинули ценник на нашей площадке на сотку. Это как по мне очень крутой поступок. Сама игра достойная котора до водя требует пораскинуть мозгами , всё это на фоне постоянного лёгково напряжения и приятного саундтрека. К тому же я не увидел какой то анти-советчины которая сегодня присутсвует во многих продуктов. Вместо это разработчики сами дают игроку выбор и дают такую концовку которая лежит ближе к сердцу каждого ( Советую пройти все ). Из предолжений скажу следующее: - Было бы неплохо увидеть в вк плей достижения которые в стиме имеются. - Помню стареньких играх с похожими головоломками любили менять курсор мыши , хз почему но почему то в голову пришло - При входе в игру пролог начинает говорить на английском языке , приходится пропускать и ставить , русский. В стиме пофиг , по понятным причинам. Но в вк плей играют то только русскоязычные пусть наш будет базовым. Я прошёл эту игру , тут подождал 2 часа ради отзыва. Разработчикам огромный респект и благодарность.",17-22,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Не имеется,Положительный
"Прошел я Tales of Bayun от российской студии FlyinDogs. Разработчики описывают свой проект как «Наративная ролевая игра». Отчасти, это так, но игра все же представляет собой Визуальную Новеллу с выборами и их последствиями, в сеттинге славянской мифологии и фольклора. В проекте показан мир на основе сказок и легенд, где на пути нам встретятся много знакомых персонажей и существ, среди которых: Хозяйка Медной горы, Леший, Золотой Полоз, Яга, Змей Горыныч, Данила Мастер и Марья Моревна. Сюжет разделен на два истории ""Невеста Полоза"", где главным ставится вопрос - Какова цена свободы и каким способом можно добиться истинной свободы? И ""Белый мор"", где смысл заключается в вопросе - каково наше предназначение? Или же можно изменить его?. Первый эпизод расскажет историю Ждана, второй о приключениях богатыря Лютобора. А расскачиком во всем этом выступает сам Кот Баюн, отпускающий ехидные комментарии. В первой истории некоторые выборы в диалогах увеличивают параметр «л)ихости» (это аналог грубости, по сути) или Хитрости. В дальнейшем же некоторые действия или варианты ответа, потребуют определённых очков той или иной шкалы. А во второй истории наш герой сопровождает больного сына князя. Там тоже две шкалы, первая шкала его здоровья, разумеется нужно ее поддерживать, если счётчик достигнет нуля, то он умрет от болезни. Поддерживать его здоровье можно специальной травой, запас которой ограничен. Визуальный стиль весьма приятный, как и сама атмосфера игры. Выборы есть, влияющие на развитие некоторых событий. Хотя основной выбор мы делаем в конце каждой исттории, где нам дают один из трех выборов концовки, ну и потом мы смотрим к чему привел тот или иной выбор и как сложилось судьба героев. Правда расстроила продолжительность, очень мало для двух историй. Но я, думаю, это того стоит. В общем, я бы сказал, что это очень достойная новелла с приятным визуальным стилемя в сеттинге славянского фэнтези. Мне такая тематика нравится и я получил удовольствие от игры. Так что любитеям жанра и любителям такой тематики стоит ознакомиться с проектом.",23-30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,Не имеется,Положительный
"Купил эту игру из подборки, в порыве поддержать отеч/ественного производителя и не секунды не пожалел о покупке. Я очень люблю необычные инди-игры, особенно, если они наши. Мне, уже очень давно надоел однообразный западоцентричный антураж: фэнтези, средневековья, в лучше случае, греческого, скандинавского в редких случаях, египетского язычества. Наше информационное пространство забито чужой повесткой и на этом фоне, мы начинаем забывать про культуры наших народов, в нашей же, стране. Огромное спасибо разработчикам, за то, что подняли эту тему, площадке, которая дала этой игре дорогу в жизнь и подборке, что указала мне на эту игру. P.S. Прошёл игру. Остался под глубочайшим впечатлением, теперь хочу поехать в Пермь и сам всё это увидеть) Великолепно)",30+,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,Не имеется,Положительный
"По совету проверенного товарища, третьего дня купил поделие российского гейм дева и имею, что сказать. Итак беглый обзор на FPV Kamikadze Drone Сразу скажу- игрушка крайне сырая, что неудивительно, для раннего доступа и цены в 150 рублей. Начну, пожалуй, с плюсов:1) овощная динамика дрона с подвесом передана неплохо. Флайт модель, конечно, еще надо доводить, но по сравнению с Liftoff и его спортивными 3-5 дюймовками, дрон ощущается намного более затяжеленным, инертным и гораздо ближе к реальному. 2) Нетипичные для ""гражданских"" симуляторов задачи- поражение пехоты в окопах движущихся Бтр и так далее, это хорошо. Теперь о недостатках, а точнее о том, что просто стоит добавить: 1) большее количество миссий с движущихся техникой, большее количество миссий с движущейся и меняющей укрытия пехотой 2) наличие встроенного редактора миссий который позволил бы самому себе собирать тренировочные площадки 3) больше работы с Мавиком (дроном наблюдателем) на данный момент он нужен только в миссии с артой. Хотя наблюдение, поиск цели и определение ориентиров – это одна из ключевых задач в работе оператора. Как вариант реализовать, например, поселок с двумя десятками домов, между которыми перебегает пехота 4) в доработке нуждаются модели техники, если и не на уровне вартандер с идеальной отработкой внутреннего пространства, то, по крайней мере с распределением ключевых узлов и шансов пробития или не пробития тех или иных участков брони, потому что сейчас попадание четко в лобовую проекцию под башню БТР-82 не наносит никаких повреждений, в то время как дрон, попавший в землю в 2 метрах за его кормой выводит его из строя 5) добавить разные типы птичек и боеприпасов Вывод: несмотря на общую сырость, на данный момент, может быть рекомендован к использованию в обучении, но только в связке с классическим Liftoff, после того как курсант получает в нем достаточное количество часов налета нарабатывает базовую моторику, его уже можно пересаживать на этот симулятор для подготовки к вылетам с нагрузкой и изменению динамики дрона. В целом, даже если вы не рассматриваете игру как тренажер перед участием в охоте на поросят из ВСУ в ней вполне можно с удовольствием провести вечерок, другой кроша врагов под звуки православного фонка.",23-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,6,Не имеется,Положительный
Я не понял почему я оказался в тиме с Хох Украинцами ?! Как такое возможно ? Почему они здеси играют ?! Минестерство разберитесь пожалуйста !!!,До 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Не имеется,Положительный
"Это шедевр. Дело даже не в техническом исполнении, не в оригинальности механик, не в хитросплетениях сюжета, но в ценности этого опуса как рефлексии нескольких поколений над сменой исторических вех. Как продажность, алчность и культ золотого тельца пришли на смену спокойной, хоть и не богатой, жизни, где все были друг-другу равны (и не надо тыкать мне в лицо номенклатурой, которая и была теми ростками неравенства, выросшими в капиталистов, что рвали страну в 90-е). Да, есть некоторые претензии к некоторым тезисам (Коммунизм - христианство без Христа? А вы точно читали МЭЛС?), но В ЦЕЛОМ - это завораживающий опыт, достойный бешеных продаж. Но как и любое искусство - признание может прийти к авторам не сразу. Мне кажется людям необходимо распробовать этот piece of art. Спасибо.",30+,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,Не имеется,Положительный
"Игра для тех, кто жил в 1992 году и хорошо его помнит. Супер! Много шуток для посвящённых, типа той, где внучок жаждет заполучить автограф погибшего Цоя, а колхозники решают, что он хочет воскресить погибшего Талькова.",30+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Не имеется,Положительный
"Приятная игра на пару вечеров, рефлексия по самому страшному событию 20 века для России и стран Союза",30+,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Не имеется,Положительный
"Игра забавная) от игрока только зависит, каково ему будет играть - ватник он, или законченный либераст, либо просто адекватный чел - каждому будет что сказать с помощью возможных реакций. Графа понятное дело - инди, но ей это даже идет. Она от этого забавнее) прикольно можно расслабиться вечером.",17-22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,Не имеется,Положительный
